registered pins: 160
pin 0 (GPA-0) 0:GPA 
pin 1 (GPA-1) 1:GPA 
pin 2 (GPA-2) 2:GPA 
pin 3 (GPA-3) 3:GPA 
pin 4 (GPA-4) 4:GPA 
pin 5 (GPA-5) 5:GPA 
pin 6 (GPA-6) 6:GPA 
pin 7 (GPA-7) 7:GPA 
pin 8 (GPA-8) 8:GPA 
pin 9 (GPA-9) 9:GPA 
pin 10 (GPA-10) 10:GPA 
pin 11 (GPA-11) 11:GPA 
pin 12 (GPA-12) 12:GPA 
pin 13 (GPA-13) 13:GPA 
pin 14 (GPA-14) 14:GPA 
pin 15 (GPA-15) 15:GPA 
pin 16 (GPA-16) 16:GPA 
pin 17 (GPA-17) 17:GPA 
pin 18 (GPA-18) 18:GPA 
pin 19 (GPA-19) 19:GPA 
pin 20 (GPA-20) 20:GPA 
pin 21 (GPA-21) 21:GPA 
pin 22 (GPA-22) 22:GPA 
pin 23 (GPA-23) 23:GPA 
pin 24 (GPA-24) 24:GPA 
pin 25 (GPA-25) 25:GPA 
pin 26 (GPA-26) 26:GPA 
pin 27 (GPA-27) 27:GPA 
pin 28 (GPA-28) 28:GPA 
pin 29 (GPA-29) 29:GPA 
pin 30 (GPA-30) 30:GPA 
pin 31 (GPA-31) 31:GPA 
pin 32 (GPB-0) 0:GPB 
pin 33 (GPB-1) 1:GPB 
pin 34 (GPB-2) 2:GPB 
pin 35 (GPB-3) 3:GPB 
pin 36 (GPB-4) 4:GPB 
pin 37 (GPB-5) 5:GPB 
pin 38 (GPB-6) 6:GPB 
pin 39 (GPB-7) 7:GPB 
pin 40 (GPB-8) 8:GPB 
pin 41 (GPB-9) 9:GPB 
pin 42 (GPB-10) 10:GPB 
pin 43 (GPB-11) 11:GPB 
pin 44 (GPB-12) 12:GPB 
pin 45 (GPB-13) 13:GPB 
pin 46 (GPB-14) 14:GPB 
pin 47 (GPB-15) 15:GPB 
pin 48 (GPB-16) 16:GPB 
pin 49 (GPB-17) 17:GPB 
pin 50 (GPB-18) 18:GPB 
pin 51 (GPB-19) 19:GPB 
pin 52 (GPB-20) 20:GPB 
pin 53 (GPB-21) 21:GPB 
pin 54 (GPB-22) 22:GPB 
pin 55 (GPB-23) 23:GPB 
pin 56 (GPB-24) 24:GPB 
pin 57 (GPB-25) 25:GPB 
pin 58 (GPB-26) 26:GPB 
pin 59 (GPB-27) 27:GPB 
pin 60 (GPB-28) 28:GPB 
pin 61 (GPB-29) 29:GPB 
pin 62 (GPB-30) 30:GPB 
pin 63 (GPB-31) 31:GPB 
pin 64 (GPC-0) 0:GPC 
pin 65 (GPC-1) 1:GPC 
pin 66 (GPC-2) 2:GPC 
pin 67 (GPC-3) 3:GPC 
pin 68 (GPC-4) 4:GPC 
pin 69 (GPC-5) 5:GPC 
pin 70 (GPC-6) 6:GPC 
pin 71 (GPC-7) 7:GPC 
pin 72 (GPC-8) 8:GPC 
pin 73 (GPC-9) 9:GPC 
pin 74 (GPC-10) 10:GPC 
pin 75 (GPC-11) 11:GPC 
pin 76 (GPC-12) 12:GPC 
pin 77 (GPC-13) 13:GPC 
pin 78 (GPC-14) 14:GPC 
pin 79 (GPC-15) 15:GPC 
pin 80 (GPC-16) 16:GPC 
pin 81 (GPC-17) 17:GPC 
pin 82 (GPC-18) 18:GPC 
pin 83 (GPC-19) 19:GPC 
pin 84 (GPC-20) 20:GPC 
pin 85 (GPC-21) 21:GPC 
pin 86 (GPC-22) 22:GPC 
pin 87 (GPC-23) 23:GPC 
pin 88 (GPC-24) 24:GPC 
pin 89 (GPC-25) 25:GPC 
pin 90 (GPC-26) 26:GPC 
pin 91 (GPC-27) 27:GPC 
pin 92 (GPC-28) 28:GPC 
pin 93 (GPC-29) 29:GPC 
pin 94 (GPC-30) 30:GPC 
pin 95 (GPC-31) 31:GPC 
pin 96 (GPD-0) 0:GPD 
pin 97 (GPD-1) 1:GPD 
pin 98 (GPD-2) 2:GPD 
pin 99 (GPD-3) 3:GPD 
pin 100 (GPD-4) 4:GPD 
pin 101 (GPD-5) 5:GPD 
pin 102 (GPD-6) 6:GPD 
pin 103 (GPD-7) 7:GPD 
pin 104 (GPD-8) 8:GPD 
pin 105 (GPD-9) 9:GPD 
pin 106 (GPD-10) 10:GPD 
pin 107 (GPD-11) 11:GPD 
pin 108 (GPD-12) 12:GPD 
pin 109 (GPD-13) 13:GPD 
pin 110 (GPD-14) 14:GPD 
pin 111 (GPD-15) 15:GPD 
pin 112 (GPD-16) 16:GPD 
pin 113 (GPD-17) 17:GPD 
pin 114 (GPD-18) 18:GPD 
pin 115 (GPD-19) 19:GPD 
pin 116 (GPD-20) 20:GPD 
pin 117 (GPD-21) 21:GPD 
pin 118 (GPD-22) 22:GPD 
pin 119 (GPD-23) 23:GPD 
pin 120 (GPD-24) 24:GPD 
pin 121 (GPD-25) 25:GPD 
pin 122 (GPD-26) 26:GPD 
pin 123 (GPD-27) 27:GPD 
pin 124 (GPD-28) 28:GPD 
pin 125 (GPD-29) 29:GPD 
pin 126 (GPD-30) 30:GPD 
pin 127 (GPD-31) 31:GPD 
pin 128 (GPE-0) 0:GPE 
pin 129 (GPE-1) 1:GPE 
pin 130 (GPE-2) 2:GPE 
pin 131 (GPE-3) 3:GPE 
pin 132 (GPE-4) 4:GPE 
pin 133 (GPE-5) 5:GPE 
pin 134 (GPE-6) 6:GPE 
pin 135 (GPE-7) 7:GPE 
pin 136 (GPE-8) 8:GPE 
pin 137 (GPE-9) 9:GPE 
pin 138 (GPE-10) 10:GPE 
pin 139 (GPE-11) 11:GPE 
pin 140 (GPE-12) 12:GPE 
pin 141 (GPE-13) 13:GPE 
pin 142 (GPE-14) 14:GPE 
pin 143 (GPE-15) 15:GPE 
pin 144 (GPE-16) 16:GPE 
pin 145 (GPE-17) 17:GPE 
