registered pins: 160
pin 0 (GPA-0) 
pin 1 (GPA-1) 
pin 2 (GPA-2) 
pin 3 (GPA-3) 
pin 4 (GPA-4) 
pin 5 (GPA-5) 
pin 6 (GPA-6) 
pin 7 (GPA-7) 
pin 8 (GPA-8) 
pin 9 (GPA-9) 
pin 10 (GPA-10) 
pin 11 (GPA-11) 
pin 12 (GPA-12) 
pin 13 (GPA-13) 
pin 14 (GPA-14) 
pin 15 (GPA-15) 
pin 16 (GPA-16) 
pin 17 (GPA-17) 
pin 18 (GPA-18) 
pin 19 (GPA-19) 
pin 20 (GPA-20) 
pin 21 (GPA-21) 
pin 22 (GPA-22) 
pin 23 (GPA-23) 
pin 24 (GPA-24) 
pin 25 (GPA-25) 
pin 26 (GPA-26) 
pin 27 (GPA-27) 
pin 28 (GPA-28) 
pin 29 (GPA-29) 
pin 30 (GPA-30) 
pin 31 (GPA-31) 
pin 32 (GPB-0) 
pin 33 (GPB-1) 
pin 34 (GPB-2) 
pin 35 (GPB-3) 
pin 36 (GPB-4) 
pin 37 (GPB-5) 
pin 38 (GPB-6) 
pin 39 (GPB-7) 
pin 40 (GPB-8) 
pin 41 (GPB-9) 
pin 42 (GPB-10) 
pin 43 (GPB-11) 
pin 44 (GPB-12) 
pin 45 (GPB-13) 
pin 46 (GPB-14) 
pin 47 (GPB-15) 
pin 48 (GPB-16) 
pin 49 (GPB-17) 
pin 50 (GPB-18) 
pin 51 (GPB-19) 
pin 52 (GPB-20) 
pin 53 (GPB-21) 
pin 54 (GPB-22) 
pin 55 (GPB-23) 
pin 56 (GPB-24) 
pin 57 (GPB-25) 
pin 58 (GPB-26) 
pin 59 (GPB-27) 
pin 60 (GPB-28) 
pin 61 (GPB-29) 
pin 62 (GPB-30) 
pin 63 (GPB-31) 
pin 64 (GPC-0) 
pin 65 (GPC-1) 
pin 66 (GPC-2) 
pin 67 (GPC-3) 
pin 68 (GPC-4) 
pin 69 (GPC-5) 
pin 70 (GPC-6) 
pin 71 (GPC-7) 
pin 72 (GPC-8) 
pin 73 (GPC-9) 
pin 74 (GPC-10) 
pin 75 (GPC-11) 
pin 76 (GPC-12) 
pin 77 (GPC-13) 
pin 78 (GPC-14) 
pin 79 (GPC-15) 
pin 80 (GPC-16) 
pin 81 (GPC-17) 
pin 82 (GPC-18) 
pin 83 (GPC-19) 
pin 84 (GPC-20) 
pin 85 (GPC-21) 
pin 86 (GPC-22) 
pin 87 (GPC-23) 
pin 88 (GPC-24) 
pin 89 (GPC-25) 
pin 90 (GPC-26) 
pin 91 (GPC-27) 
pin 92 (GPC-28) 
pin 93 (GPC-29) 
pin 94 (GPC-30) 
pin 95 (GPC-31) 
pin 96 (GPD-0) 
pin 97 (GPD-1) 
pin 98 (GPD-2) 
pin 99 (GPD-3) 
pin 100 (GPD-4) 
pin 101 (GPD-5) 
pin 102 (GPD-6) 
pin 103 (GPD-7) 
pin 104 (GPD-8) 
pin 105 (GPD-9) 
pin 106 (GPD-10) 
pin 107 (GPD-11) 
pin 108 (GPD-12) 
pin 109 (GPD-13) 
pin 110 (GPD-14) 
pin 111 (GPD-15) 
pin 112 (GPD-16) 
pin 113 (GPD-17) 
pin 114 (GPD-18) 
pin 115 (GPD-19) 
pin 116 (GPD-20) 
pin 117 (GPD-21) 
pin 118 (GPD-22) 
pin 119 (GPD-23) 
pin 120 (GPD-24) 
pin 121 (GPD-25) 
pin 122 (GPD-26) 
pin 123 (GPD-27) 
pin 124 (GPD-28) 
pin 125 (GPD-29) 
pin 126 (GPD-30) 
pin 127 (GPD-31) 
pin 128 (GPE-0) 
pin 129 (GPE-1) 
pin 130 (GPE-2) 
pin 131 (GPE-3) 
pin 132 (GPE-4) 
pin 133 (GPE-5) 
pin 134 (GPE-6) 
pin 135 (GPE-7) 
pin 136 (GPE-8) 
pin 137 (GPE-9) 
pin 138 (GPE-10) 
pin 139 (GPE-11) 
pin 140 (GPE-12) 
pin 141 (GPE-13) 
pin 142 (GPE-14) 
pin 143 (GPE-15) 
pin 144 (GPE-16) 
pin 145 (GPE-17) 
pin 146 (GPE-18) 
pin 147 (GPE-19) 
pin 148 (GPE-20) 
pin 149 (GPE-21) 
pin 150 (GPE-22) 
pin 151 (GPE-23) 
pin 152 (GPE-24) 
pin 153 (GPE-25) 
pin 154 (GPE-26) 
pin 155 (GPE-27) 
pin 156 (GPE-28) 
pin 157 (GPE-29) 
pin 158 (GPE-30) 
pin 159 (GPE-31) 
