PID   USER     TIME  COMMAND
    1 root      0:00 {linuxrc} init
    2 root      0:00 [kthreadd]
    3 root      0:00 [ksoftirqd/0]
    4 root      0:00 [kworker/0:0]
    5 root      0:00 [kworker/0:0H]
    6 root      0:00 [kworker/u4:0]
    7 root      0:00 [rcu_preempt]
    8 root      0:00 [rcu_sched]
    9 root      0:00 [rcu_bh]
   10 root      0:00 [migration/0]
   11 root      0:00 [migration/1]
   12 root      0:00 [ksoftirqd/1]
   13 root      0:00 [kworker/1:0]
   14 root      0:00 [kworker/1:0H]
   15 root      0:00 [kdevtmpfs]
   16 root      0:00 [kworker/u4:1]
  250 root      0:00 [kworker/u4:2]
  251 root      0:00 [writeback]
  253 root      0:00 [crypto]
  254 root      0:00 [bioset]
  256 root      0:00 [kblockd]
  325 root      0:00 [cfg80211]
  326 root      0:00 [kworker/0:1]
  410 root      0:00 [rpciod]
  418 root      0:00 [kswapd0]
  419 root      0:00 [vmstat]
  470 root      0:00 [fsnotify_mark]
  485 root      0:00 [nfsiod]
  529 root      0:00 [spi2]
  585 root      0:00 [helix-venc]
  588 root      0:00 [felix-vdec]
  591 root      0:00 [irq/45-mmc0]
  601 root      0:00 [bioset]
  602 root      0:00 [mmcqd/0]
  603 root      0:00 [bioset]
  604 root      0:00 [mmcqd/0boot0]
  605 root      0:00 [bioset]
  606 root      0:00 [mmcqd/0boot1]
  607 root      0:00 [bioset]
  608 root      0:00 [mmcqd/0rpmb]
  627 root      0:00 [kworker/1:1]
  642 root      0:00 [deferwq]
  645 root      0:00 [kworker/1:1H]
  646 root      0:00 [kworker/0:1H]
  691 root      0:00 [ext4-rsv-conver]
  711 root      0:00 /sbin/syslogd -n
  715 root      0:00 /sbin/klogd -n
  746 root      0:00 [ext4-rsv-conver]
  750 root      0:00 /usr/sbin/ubusd
  754 root      0:00 /usr/bin/device_manager
  817 root      0:00 [irq/44-mmc1]
  863 root      0:00 [dhd_watchdog_th]
  865 root      0:00 [dhd_dpc]
  866 root      0:00 [dhd_rxf]
  882 root      0:00 [btudpwork]
  883 root      0:00 [btfwwork]
  900 root      0:00 [irq/74-ns2009]
  923 root      0:00 /sbin/udevd -d
  988 dbus      0:00 dbus-daemon --system
 1070 root      0:00 [wl_event_handle]
 1071 root      0:00 [kworker/0:2]
 1090 root      0:00 [kworker/1:2]
 1104 root      0:00 /usr/sbin/ifplugd -i eth0 -fI -u0 -d0
 1133 root      0:00 /usr/sbin/ntpd -g
 1141 root      0:00 /usr/sbin/dropbear -R
 1161 root      0:00 nginx: master process /usr/data/nginx/sbin/nginx -c /usr/data/nginx/nginx/nginx.conf
 1162 www-data  0:00 nginx: worker process
 1166 root      0:00 wpa_supplicant -B -i wlan0 -c /usr/data/wpa_supplicant.conf
 1215 root      0:14 /usr/share/klippy-env/bin/python /usr/share/klipper/klippy/klippy.py /usr/data/printer_data/config/printer.cfg -l /usr/data/printer_data/logs/klippy.log -a /tmp/klippy_uds
 1221 root      0:16 /usr/data/moonraker/moonraker-env/bin/python /usr/data/moonraker/moonraker/moonraker/moonraker.py -d /usr/data/printer_data
 1225 root      0:00 /usr/bin/klipper_mcu -r
 1229 root      0:00 /usr/bin/wipe_data
 1237 root      0:00 /usr/data/guppyscreen/k1_mods/respawn/supervise-daemon guppyscreen --start --stderr /usr/data/printer_data/logs/guppyscreen.log --pidfile /var/run/guppyscreen.pid /usr/data/guppyscreen/guppyscreen
 1239 root      0:08 /usr/data/guppyscreen/guppyscreen
 1257 root      0:00 /usr/bin/mdns --service _Creality-26096911004C14._udp.local --port 5353 --hostname Ender3V3KE-4C14
 1258 root      0:00 /sbin/getty -L console 115200 vt100
 1327 root      0:00 udhcpc -i wlan0 -x hostname:Ender3V3KE-4C14
 5661 root      0:00 /usr/sbin/dropbear -R
 5681 root      0:00 sh /tmp/capture-state.sh /tmp/parity-stock
 5688 root      0:00 [sleep]
 5691 root      0:00 [sleep]
 5698 root      0:00 [sleep]
 5701 root      0:00 [sleep]
 5704 root      0:00 [sleep]
 5707 root      0:00 [sleep]
 5710 root      0:00 [sleep]
 5713 root      0:00 [sleep]
 5716 root      0:00 [sleep]
 5719 root      0:00 [sleep]
 5722 root      0:00 [sleep]
 5726 root      0:00 [sleep]
 5729 root      0:00 [sleep]
 5732 root      0:00 [sleep]
 5735 root      0:00 [sleep]
 5738 root      0:00 [sleep]
 5741 root      0:00 [sleep]
 5744 root      0:00 [sleep]
 5919 root      0:00 sleep 8
 5922 root      0:00 sleep 8
 5925 root      0:00 sleep 8
 5928 root      0:00 sleep 8
 5931 root      0:00 sleep 8
 5934 root      0:00 sleep 8
 5937 root      0:00 sleep 8
 5940 root      0:00 sleep 8
 5951 root      0:00 sleep 8
 5952 root      0:00 ps
 5953 root      0:00 sh /tmp/capture-state.sh /tmp/parity-stock
 5954 root      0:00 sleep 8
